seq_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASVaa326ed073d2,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA,NA
ASVd248543ce0da,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexaceae,NA,NA
ASV2133a596635d,Bacteria,NA,NA,NA,NA,NA,NA
ASV9677113dba02,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,arvensicola
ASVe20106ebff4b,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,NA
ASV23a9bb2f9fa3,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,acidaminiphila
ASV8e1656f482cb,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,NA,NA
ASVf50fbefe24fb,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,1959-1,NA
ASV7d211178a394,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
ASV000792a89052,Bacteria,Armatimonadota,Chthonomonadia,Chthonomonadales,NA,NA,NA
ASV0d360669c28b,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
ASV0ae31b601d56,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,NA
ASVf627b0701490,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Bosea,NA
ASVf2a4f239b473,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV93e3d9d3a212,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
ASV1045755f7ed8,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,NA
ASVd736c132502d,Bacteria,Chloroflexota,NA,NA,NA,NA,NA
ASV22ee85c2296c,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
ASV6ba3a44e39f4,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASV4ce370cbddfe,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
ASVd5ce169dd1cf,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA
ASV46fc5d99ede5,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
ASVca78147c4cc5,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
ASV57a49aa334cf,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
ASVe2f8359c0e5b,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
ASVf041c392544d,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV5caf3b64b70b,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
ASVb7e132adb872,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
ASV9978dbacfcf2,Bacteria,Chloroflexota,Ktedonobacteria,B10-SB3A,NA,NA,NA
ASVac883c9348d4,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
ASV91232959f454,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Sinomonas,atrocyanea
